iter	Passed	Remaining
0	0	384
1	0	331
2	0	315
3	1	308
4	1	307
5	1	298
6	2	288
7	2	283
8	2	276
9	2	272
10	3	270
11	3	270
12	3	267
13	3	264
14	3	261
15	4	258
16	4	255
17	4	255
18	4	255
19	5	253
20	5	252
21	5	251
22	5	252
23	6	253
24	6	253
25	6	253
26	6	251
27	7	255
28	7	260
29	8	261
30	8	262
31	8	261
32	8	261
33	9	262
34	9	263
35	9	265
36	10	266
37	10	266
38	10	267
39	11	265
40	11	266
41	11	265
42	11	264
43	12	265
44	12	264
45	12	265
46	13	266
47	13	267
48	13	266
49	14	266
50	14	264
51	14	266
52	14	264
53	15	264
54	15	264
55	15	263
56	15	264
57	16	263
58	16	263
59	16	262
60	17	262
61	17	262
62	17	262
63	17	261
64	18	260
65	18	260
66	18	260
67	19	260
68	19	260
69	19	259
70	19	259
71	20	259
72	20	258
73	20	258
74	20	258
75	21	257
76	21	257
77	21	257
78	22	256
79	22	256
80	22	256
81	22	257
82	23	254
83	23	255
84	23	256
85	24	256
86	24	256
87	24	256
88	25	256
89	25	256
90	25	256
91	25	255
92	26	254
93	26	254
94	26	254
95	26	253
96	27	253
97	27	252
98	27	252
99	28	252
100	28	251
101	28	251
102	28	251
103	29	250
104	30	256
105	30	255
106	30	255
107	30	254
108	31	254
109	31	254
110	31	253
111	32	254
112	32	254
113	32	254
114	32	253
115	33	253
116	33	252
117	33	251
118	34	251
119	34	251
120	34	250
121	34	249
122	35	249
123	35	249
124	35	249
125	35	248
126	36	247
127	36	247
128	36	246
129	36	246
130	37	246
131	37	245
132	37	245
133	37	244
134	38	244
135	38	243
136	38	244
137	39	244
138	39	243
139	39	243
140	39	243
141	40	242
142	40	242
143	40	242
144	41	242
145	41	242
146	41	242
147	42	242
148	42	243
149	42	243
150	43	243
151	43	243
152	44	243
153	44	243
154	44	243
155	44	242
156	45	242
157	45	242
158	45	242
159	46	241
160	46	240
161	46	240
162	46	240
163	47	240
164	47	241
165	48	241
166	48	241
167	48	241
168	49	241
169	49	240
170	49	240
171	49	240
172	50	240
173	50	239
174	50	239
175	51	239
176	51	238
177	51	238
178	51	237
179	52	237
180	52	237
181	52	237
182	53	237
183	53	236
184	53	236
185	53	235
186	54	235
187	54	235
188	54	235
189	55	234
190	55	234
191	55	234
192	56	234
193	56	234
194	56	234
195	57	234
196	57	233
197	57	233
198	58	233
199	58	233
200	58	232
201	58	232
202	59	232
203	59	231
204	59	231
205	60	231
206	60	231
207	60	230
208	60	230
209	61	229
210	61	229
211	61	229
212	61	228
213	62	228
214	62	227
215	62	227
216	62	227
217	63	227
218	63	226
219	63	226
220	64	225
221	64	225
222	64	225
223	64	224
224	65	224
225	65	223
226	65	223
227	65	223
228	66	222
229	66	222
230	66	222
231	66	221
232	67	221
233	67	221
234	67	220
235	68	220
236	68	219
237	68	219
238	68	218
239	69	218
240	69	218
241	69	217
242	69	217
243	70	217
244	70	217
245	70	217
246	71	217
247	71	216
248	71	216
249	72	216
250	72	216
251	72	216
252	73	216
253	73	215
254	73	215
255	74	215
256	74	214
257	74	214
258	74	214
259	75	213
260	75	213
261	75	213
262	75	212
263	76	212
264	76	212
265	76	211
266	76	211
267	77	210
268	77	210
269	77	210
270	78	210
271	78	209
272	78	209
273	78	208
274	79	208
275	79	208
276	79	207
277	79	207
278	80	207
279	80	207
280	81	207
281	81	207
282	81	207
283	82	206
284	82	206
285	82	206
286	82	205
287	83	205
288	83	205
289	83	205
290	83	204
